"year","month","Fleet","sex","partition","ageErr","LbinLo","LbinHi","nSamps","F0","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F0.1","F1.1","F2.1","F3.1","F4.1","F5.1","F6.1","F7.1","F8.1","F9.1","F10.1","F11.1","F12.1","F13.1","F14.1","F15.1"
2001,"Month","Fleet",1,0,"Enter",73,73,8,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",75,75,6,0,0,0,0,0,20,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,40,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",77,77,3,0,0,0,0,0,0,25,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,50,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",79,79,6,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",81,81,8,0,0,0,0,0,0,16.6666666666667,33.3333333333333,16.6666666666667,16.6666666666667,0,0,0,0,0,16.6666666666667,0,0,0,0,0,0,16.6666666666667,33.3333333333333,16.6666666666667,16.6666666666667,0,0,0,0,0,16.6666666666667
2001,"Month","Fleet",1,0,"Enter",83,83,5,0,0,0,0,0,0,0,33.3333333333333,33.3333333333333,0,0,0,0,33.3333333333333,0,0,0,0,0,0,0,0,0,33.3333333333333,33.3333333333333,0,0,0,0,33.3333333333333,0,0
2001,"Month","Fleet",1,0,"Enter",85,85,4,0,0,0,0,0,0,16.6666666666667,33.3333333333333,16.6666666666667,33.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,33.3333333333333,16.6666666666667,33.3333333333333,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",87,87,6,0,0,0,0,0,0,12.5,12.5,25,12.5,37.5,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,25,12.5,37.5,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",89,89,2,0,0,0,0,0,0,0,0,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,40,0,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",91,91,2,0,0,0,0,0,0,0,25,0,25,50,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,50,0,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",93,93,1,0,0,0,0,0,0,0,0,33.3333333333333,16.6666666666667,33.3333333333333,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,16.6666666666667,33.3333333333333,16.6666666666667,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",95,95,1,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0
2001,"Month","Fleet",1,0,"Enter",99,99,1,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0
2004,"Month","Fleet",1,0,"Enter",103,103,4,0,0,0,0,0,33.3333333333333,0,0,0,0,0,33.3333333333333,33.3333333333333,0,0,0,0,0,0,0,0,33.3333333333333,0,0,0,0,0,33.3333333333333,33.3333333333333,0,0,0
2004,"Month","Fleet",1,0,"Enter",105,105,4,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
2004,"Month","Fleet",1,0,"Enter",107,107,6,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2004,"Month","Fleet",1,0,"Enter",109,109,3,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
2004,"Month","Fleet",1,0,"Enter",31,31,6,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",1,0,"Enter",33,33,4,0,25,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,75,0,0,0,0,0,0,0,0,0,0,0,0,0
